뉴스1,228
금강일보,186
대전일보,157
대전투데이,150
연합뉴스,122
전자신문,120
불교공뉴스,113
충청투데이,113
아주경제,107
뉴시스,101
정책브리핑,95
베리타스알파,93
브레이크뉴스,89
아시아뉴스통신,88
대전시티저널,83
디트뉴스24,76
동아일보,63
충청매일,61
중도일보,54
아시아투데이,50
굿모닝충청,50
보안뉴스,47
디지털데일리,43
한겨레,43
EBS,38
중부매일,38
디지털타임스,38
이뉴스투데이,35
이투데이,34
아이티데일리,33
국제뉴스,30
BBS NEWS,25
넥스트데일리,25
중앙SUNDAY,25
브릿지경제,24
서울신문,24
신아일보,24
매일경제,23
미디어워치,23
이투뉴스,22
KTV국민방송,22
MBN,22
동양일보,21
미디어펜,21
프라임경제,20
EBN,20
동아사이언스,20
에듀동아,19
시사위크,19
뉴스토마토,19
뉴스핌,19
헤럴드POP,17
충청일보,16
아이뉴스24,16
머니투데이,16
ZDNet Korea,15
한국대학신문,15
한국교육신문,12
IT조선,11
머니S,10
시사포커스,10
YTN,9
YTN사이언스,8
환경일보,8
헤럴드경제,7
충남일보,7
뉴스1베리타스알파,5
중부일보,4
연합뉴스베리타스알파,3
데이터넷,3
디지털타임스언론사 선정,2
브레이크뉴스베리타스알파,2
한국교육신문베리타스알파,1
디지털데일리베리타스알파,1
충청투데이베리타스알파,1
동아일보베리타스알파,1
아주경제베리타스알파,1
중부매일베리타스알파,1
아시아투데이베리타스알파,1
EBN베리타스알파,1
전자신문베리타스알파,1
대전일보베리타스알파,1
대전투데이베리타스알파,1
베리타스알파베리타스알파,1
대전시티저널베리타스알파,1
뉴시스베리타스알파,1
서울경제,1
