대전일보,134
베리타스알파,72
금강일보,55
연합뉴스,46
EBS,44
불교공뉴스,36
국제뉴스,31
대전시티저널,30
헬로디디,24
디트뉴스24,24
중도일보,24
뉴시스,23
뉴스1,22
아시아뉴스통신,22
한국경제,22
뉴데일리,18
전자신문,18
정책브리핑,17
머니투데이,17
대구일보,17
충청투데이,16
아시아경제,16
이뉴스투데이,15
대전투데이,15
매일신문,15
충남일보,14
굿모닝충청,13
업코리아,13
동아사이언스,13
KBS 뉴스,13
CIOBIZ+,12
일요신문,12
YTN,12
아시아투데이,12
한국일보,12
가톨릭평화방송·평화신문,11
디지털타임스,11
뉴스웍스,11
보안뉴스,10
데이터넷,10
충청매일,10
세계일보,10
아주경제,9
파이낸셜뉴스,9
한국경제TV,9
디지털데일리,8
동아일보,6
KNS뉴스통신,4
베리타스알파대전MBC,3
서울경제,3
대전일보대전MBC,2
매일일보,2
매일경제,1
한국일보대전MBC,1
충청투데이대전MBC,1
뉴데일리대전MBC,1
대전시티저널대전MBC,1
정책브리핑대전MBC,1
뉴스1대전MBC,1
서울경제대전MBC,1
일요신문대전MBC,1
대전MBC,1
